customer_id,natural_key,first_name,last_name,email,phone,address_line1,address_line2,city,state_region,postcode,country_code,latitude,longitude,birth_date,join_ts,is_vip,gdpr_consent
27,CUST--9AA00ZZ,Jacqueline,Taylor,guerrakyle@example.net,(07)-1474-5378,49/60 Ruiz Broadway,,Wilsonville,SA,2607,AU,-39.143580,127.554288,1996-04-09,2025-01-05T06:00:32,False,True
28,CUST--A-9A0--,John,Leach,bakervictor@example.net,8067 7937,Suite 100 8 Angela Landing,,North Allisonfurt,TAS,1926,AU,-40.726473,130.187973,1990-04-12,2025-01-24T13:48:12,False,True
29,CUST--A0A0AZ9,Maria,Gonzales,kramos@example.org,4079.3976,95 Alexis Ronde,,Byrdtown,NSW,2972,AU,-43.796200,118.095294,1971-04-29,2024-08-30T04:09:53,False,True
30,CUST----9Z99Z,Jennifer,Perry,thomas42@example.org,02 5134 6652,Apt. 362 982 Townsend Avenue,,Richardfort,QLD,2641,AU,-38.242033,148.321046,1993-09-02,2024-07-22T07:13:15,True,True
31,CUST-9-A-9ZA9,Andrew,Lynch,bad_email,0469 163 393,Unit 37 468 Brown Block,,East Karinamouth,NSW,6519,AU,-39.799413,131.608068,1998-11-22,2024-07-04T23:08:27,False,True
32,CUST-9-0--Z9-,Andrew,Mills,pennyvaughan@example.com,07 8725 2919,59 Susan Trail,,West Amandamouth,NT,2917,AU,-43.133371,147.265247,1981-11-16,2025-01-19T16:55:10,False,True
33,CUST-AZZ0Z-0-,Robin,Powers,stephaniethompson@example.net,+61-429-481-964,758 Short Top,,Chantown,ACT,2646,AU,-42.089436,121.654242,1996-06-17,2024-09-07T20:12:48,False,True
34,CUST-90-A09AZ,Roger,Washington,haley82@example.com,0401.116.201,52 Shepherd Promenade,,Josephchester,VIC,2611,AU,-36.540646,125.231652,2000-09-15,2024-05-18T11:09:49,False,True
35,CUST-Z---A-99,Derek,Atkins,thomas40@example.com,0381.8871,Unit 46 266 Johnson Sound,,Emilyfurt,TAS,6678,AU,-40.391189,124.090704,2007-12-02,2024-03-05T09:59:14,True,True
36,CUST-9-Z-AA90,Catherine,Lane,flemingderrick@example.net,4297 4254,282 Wilson Basin,,Marytown,ACT,3390,AU,-35.382770,116.563486,1965-11-11,2024-07-24T17:54:14,True,True
37,CUST-A---AAZ-,Jose,Mills,jennifer74@example.com,+61371442182,306 Parker Way,,Toddland,NSW,2619,AU,-39.572790,146.406667,1998-06-21,2024-06-05T20:42:11,False,True
38,CUST-ZA99-9A-,Nancy,Keller,tgreen@example.org,03-4052-2976,Apt. 677 8 Nelson Walk,,West Tiffanybury,WA,0826,AU,-37.106289,130.796499,1962-12-05,2024-04-28T10:29:22,False,True
39,CUST--99AZ09-,Alejandro,Phillips,christianroman@example.net,07-1343-9792,95/9 Santos Centreway,,Tinaburgh,TAS,2818,AU,-35.733688,114.856393,1974-11-19,2024-06-06T21:39:53,False,True
40,CUST-0AZZ0909,Michael,Campbell,jefferygray@example.org,18205870,23/062 Amy Flat,,Khanborough,TAS,8204,AU,-36.654661,136.148546,1962-04-27,2024-02-16T08:20:05,False,True
41,CUST-A--A9-Z-,Patricia,Brewer,bakerwhitney@example.com,08.3555.7877,463 Boone Dip,,Port Roger,SA,2605,AU,-39.082742,115.649696,1991-03-20,2024-07-28T12:08:07,False,True
42,CUST-9ZZ0009-,Edward,Hill,toddlee@example.org,+61 2 2543 3287,Level 4 5 Allison Glade,,West Michaelshire,ACT,8191,AU,-39.958249,132.583850,1960-02-07,2024-12-02T19:45:18,False,True
43,CUST--0A0-Z-9,Mark,Perez,lisawilliams@example.com,0475.524.106,3 Baldwin Gap,,Lake Edward,SA,2664,AU,-34.268532,136.354867,1981-06-20,2024-12-29T05:45:58,False,False
44,CUST-0AA90-A-,Laura,Hancock,brentbrock@example.org,+61 400 965 793,15/575 Elizabeth Gap,,Rushfurt,SA,2845,AU,-41.562691,134.050603,1994-05-31,2024-04-07T21:49:21,False,True
45,CUST-0ZAZZZA-,Lindsey,Hunter,oedwards@example.org,(03)-4807-3585,1 Tran Part,,Zacharyport,TAS,2879,AU,-40.548761,134.076697,2008-10-02,2024-07-12T16:34:42,False,True
46,CUST--9--A00Z,Christine,West,johnramsey@example.net,+61-474-586-810,9 Castillo Deviation,,Watsonborough,SA,2667,AU,-34.346464,125.279788,1969-01-01,2024-08-13T03:37:49,False,True
47,CUST-00-99Z-A,Karen,Powers,lee61@example.com,(03).6955.9510,Level 0 3 Johnson Track,,Larsonburgh,NSW,2400,AU,-37.732008,147.497547,2003-10-11,2024-10-04T01:18:25,False,True
48,CUST-A0A9-99Z,John,Shea,russell34@example.com,+61 436 881 299,2 Fowler Part,,Maysville,QLD,2667,AU,-41.066322,126.993644,1973-01-22,2024-05-05T19:20:21,False,True
49,CUST----0--9A,Beverly,Goodman,brivers@example.org,0444-073-477,Unit 67 2 Lynch Common,,West Kerry,QLD,0971,AU,-37.331593,147.956341,2001-09-27,2024-05-27T19:54:03,False,True
50,CUST-ZZ0Z99-0,Donald,Hammond,james13@example.com,+61-498-162-150,Apt. 312 7 Anderson Ride,,Watsonview,WA,2949,AU,-38.251881,151.707682,1986-06-27,2024-01-12T23:57:55,False,False
51,CUST-99-AZ-90,Cynthia,Spencer,barbaragarcia@example.org,(07) 4239 1390,Unit 71 99 Cassandra Deviation,,St. Dylanstad,NSW,2604,AU,-34.965963,137.853624,1987-09-19,2024-08-13T01:12:53,False,True
52,CUST-A-9ZZ-0-,Erin,Roy,omoreno@example.net,0419.942.114,4 John Ring,,Hannahfurt,NSW,2222,AU,-41.048586,146.815878,1970-05-01,2024-08-27T02:44:29,True,True
53,CUST-ZA900-99,Kevin,Ray,adriennecarey@example.net,+61.2.4640.8718,0 Michael Parkway,,Gibsonhaven,QLD,2952,AU,-35.775827,149.611676,1969-09-20,2024-12-11T08:30:47,False,True
54,CUST-9-0Z--A9,Timothy,Fitzgerald,nadams@example.org,02.4514.0578,341 Chen Brae,,Justinberg,SA,2266,AU,-39.073754,115.887680,2008-03-23,2024-03-10T14:09:00,False,True
55,CUST---9-0999,Sarah,Smith,duncantammy@example.net,2217-1312,58 Bentley Common,,North Joseland,SA,2960,AU,-41.827303,129.787834,1981-03-07,2024-07-04T03:37:02,False,True
56,CUST-AA09Z0-Z,Crystal,Garcia,ramoskathleen@example.org,0425.585.509,Suite 191 774 Campbell Strip,,Jessicaport,VIC,0955,AU,-42.740761,134.583119,1966-02-26,2025-01-26T20:10:41,False,True
57,CUST-Z----Z-A,Kristy,Lewis,debra27@example.net,0428.433.039,882 Vanessa Way,,South Jacquelineborough,ACT,2922,AU,-36.115685,135.554117,1961-06-01,2024-03-30T09:39:42,True,True
58,CUST-Z09--0AA,Bradley,Rowland,josephanderson@example.com,(07) 9195 8218,Apt. 012 380 Jones Cutting,,East Andres,NSW,2330,AU,-34.359738,114.433016,2002-12-21,2024-07-24T15:31:12,False,True
59,CUST-0ZAAA---,Todd,Hoover,alexisthomas@example.org,6222.2780,2 Brown Ground,,East Michaelton,NT,2640,AU,-37.945732,115.967138,1970-04-07,2024-12-01T23:41:56,False,True
60,CUST-000-0-Z0,Kevin,Frost,veronica51@example.org,(08)46779264,073 Jeremy Esplanade,,Port Audrey,NSW,2681,AU,-42.473611,148.919401,1966-01-08,2024-02-16T03:06:28,True,True
61,CUST--ZA--9--,Michele,Allison,jruiz@example.org,6082-3480,879/2 Weber Flat,,Kathrynview,VIC,0976,AU,-36.789393,150.735945,2013-11-12,2024-06-08T12:48:10,True,True
62,CUST-Z--ZA0-9,Michelle,Mitchell,sanderscorey@example.org,(08) 8837 1216,Flat 34 5 Christine Gully,,North Zoe,ACT,2682,AU,-37.421688,139.738848,1962-08-06,2024-04-02T09:56:58,False,True
63,CUST-9-A-Z-0Z,Margaret,Hall,xrandall@example.org,+61 406 280 171,Flat 57 745 Stephanie Mount,,East Russellchester,NT,2548,AU,-39.463542,118.296371,1987-12-16,2025-01-04T11:48:37,False,True
64,CUST-AA-A9A--,Shirley,Graham,fosterfred@example.org,+61.422.499.699,966 Reese Mews,,Heatherfurt,SA,2655,AU,-41.844310,132.493852,1990-12-19,2024-08-08T04:02:14,False,True
65,CUST-AZ0-9--0,Michael,Williams,gmartin@example.org,02 0324 6294,22 Michael Retreat,,West Laurenton,NSW,2622,AU,-42.800157,131.895413,1998-08-20,2024-03-30T04:42:12,False,True
66,CUST-A-09AZ-9,Julie,Arnold,robertholmes@example.org,0487 736 344,971/35 Donald Strand,,Lake Kayla,NSW,2903,AU,-36.905010,128.707758,1970-05-02,2024-07-26T00:45:33,False,True
67,CUST-090--ZAA,Roger,Grant,jeanette75@example.com,0469.599.258,362 Harris Ring,,Kennedychester,TAS,2668,AU,-41.784279,143.164715,1966-11-07,2024-09-18T23:03:18,True,True
68,CUST-9Z9--AZ-,Shawn,Montoya,chelseavaughn@example.net,5521-5684,618 Robinson Dale,,Livingstonville,TAS,2621,AU,-36.271519,131.764681,2010-07-29,2025-01-24T21:05:52,False,True
69,CUST-ZZ999---,Erika,Johnson,drobles@example.com,03 8475 8229,39 Drake Part,,Wilcoxton,WA,7442,AU,-43.258093,130.469699,1963-05-17,2024-01-30T13:25:31,False,True
70,CUST--0---0-A,Cynthia,Mejia,ryan68@example.com,0433 722 274,90 Ashley Wynd,,Pamport,TAS,2954,AU,-34.422776,130.020924,1990-10-23,2024-12-31T03:04:13,False,True
71,CUST---9-0-0-,Allison,Williams,maldonadorichard@example.org,0425-639-215,481/876 Ayala Rue,,Port Jasonshire,NT,2423,AU,-37.526946,114.636474,1968-06-23,2024-10-12T14:04:27,False,True
72,CUST-A99-Z---,Daniel,Holt,ogray@example.org,03-9922-6079,777 Porter Vale,,Stevenborough,NT,2955,AU,-40.233207,143.666478,1971-06-19,2024-12-09T19:09:55,True,True
73,CUST-AZ-Z--ZZ,Steven,French,erinmathews@example.net,03.1632.4924,664 Nicole Park,,Parsonsburgh,WA,2646,AU,-42.988592,142.834989,2007-03-28,2024-01-20T12:15:40,False,True
74,CUST---90----,Erika,Lowe,sandraclark@example.org,+61.2.4050.5413,578 Taylor Roadside,,North Robert,ACT,2668,AU,-36.161996,121.360118,1981-06-16,2024-06-07T17:04:34,False,True
75,CUST-0900Z---,Steven,Martinez,alexblack@example.org,5194-9638,3/5 Karen Ridgeway,,Lanefurt,ACT,2611,AU,-35.258831,134.181630,1969-03-15,2024-12-30T18:47:01,False,True
76,CUST--AZ0--0-,Christopher,Miller,mark36@example.com,03-2295-1936,5 Dillon Outlook,,South Claudiaburgh,NSW,8722,AU,-34.054746,126.996507,1962-07-12,2024-06-12T03:36:27,False,True
77,CUST-A--9-0Z9,Cynthia,Gomez,shannongonzalez@example.com,0424 198 418,Unit 53 0 Fernando Footway,,Tuckerton,WA,0854,AU,-42.504804,149.609038,2014-08-16,2024-09-27T15:24:36,True,True
78,CUST-09A-0-ZA,Bryan,Smith,jacobhorton@example.com,(02).1843.3500,85 Jennifer Path,,St. Davidtown,QLD,2877,AU,-41.087280,112.062573,1991-08-27,2024-05-03T20:46:38,False,True
79,CUST--Z----AA,Maria,Scott,james46@example.org,(03).3909.9202,874 Megan Ronde,,North Ericbury,QLD,2619,AU,-40.429061,114.702382,1981-08-19,2025-01-10T23:55:27,False,True
80,CUST-Z99ZA-Z-,Jeffrey,Pittman,xcardenas@example.net,(03)37849469,4 Lee Walk,,Rayport,NT,5847,AU,-43.368995,143.047616,2001-01-22,2024-01-19T10:41:02,False,True
81,CUST--Z0ZZ-0A,Sarah,Villa,david35@example.com,(03).1943.0822,882 Ward Flat,,Salazarshire,QLD,2927,AU,-40.680753,116.979000,1993-01-06,2024-08-11T14:33:51,False,True
82,CUST---Z000Z9,Michael,Lee,jamesgardner@example.com,+61.408.577.407,6 Crystal Slope,,Johnsonview,NSW,2943,AU,-40.787886,115.202756,1986-07-10,2024-06-05T16:14:07,False,True
83,CUST-00-A99ZZ,Karla,Griffin,stanleypamela@example.com,+61-8-1009-7599,9 Smith Centreway,,Johnview,TAS,2903,AU,-35.989040,139.176424,1962-10-17,2024-03-14T22:07:15,False,True
84,CUST--0Z-9AZ-,Gabriela,Underwood,nicholashorton@example.com,07-6084-6557,621 Christina Tollway,,Barbarachester,SA,7082,AU,-38.260782,133.178395,1995-09-16,2024-06-09T23:38:59,False,True
85,CUST-AA090---,Sheri,Cooper,sherry22@example.org,+61.470.591.950,Unit 91 26 Haley Quay,,Martinezhaven,NT,0243,AU,-34.013712,120.007134,1972-03-05,2024-02-07T16:27:30,False,True
86,CUST--A9A99ZZ,Jo,Hale,xaustin@example.net,(07)-7055-5337,4/3 Sanford Underpass,,West Seth,SA,2181,AU,-41.990196,117.555075,2004-04-27,2024-01-14T13:08:23,False,True
87,CUST---0-ZAA9,Jay,Powell,garciasandra@example.net,02.6509.4757,Suite 789 4 Zachary Bypass,,Adamsside,TAS,8099,AU,-39.500255,139.204360,1990-11-28,2024-03-06T20:04:20,False,True
88,CUST--AA--Z0-,Heather,Garrison,gmercer@example.com,08 6198 4730,3/59 Williams Walk,,East Monicaville,SA,4676,AU,-41.493947,137.402284,2009-06-01,2024-05-20T04:33:26,False,True
89,CUST--9--A---,John,Rogers,barkerrachel@example.org,+61.470.259.037,8 James Expressway,,Nicholsstad,ACT,2610,AU,-36.289776,122.586236,1978-11-29,2025-01-27T20:49:51,False,True
90,CUST--9Z90Z-0,Bernard,Hill,natalie23@example.com,07 1876 0591,Level 4 55 Erika Part,,Davidville,ACT,2622,AU,-39.355578,125.607703,1972-11-20,2024-06-09T11:37:33,False,True
91,CUST--AZ--Z0-,Sarah,Rodriguez,bad_email,24544139,5 Woods Extension,,East Mollyburgh,TAS,2503,AU,-34.546151,146.566554,1997-07-06,2024-05-07T05:48:52,False,True
92,CUST-0Z-0-9-0,Valerie,Roth,leahjackson@example.net,(02)98613400,899 Davis Towers,,Rogerstown,ACT,2970,AU,-41.848556,126.115804,1964-07-14,2024-05-24T18:01:06,False,True
93,CUST--090-ZAA,Yesenia,Fox,bad_email,+61 450 060 568,Apt. 375 526 Regina Viaduct,,Port Amy,ACT,2624,AU,-38.381831,126.500951,1985-11-21,2024-02-07T14:03:59,False,True
94,CUST---Z0A9A-,Troy,Heath,lesliepearson@example.net,+61.2.5013.6430,93 Stephanie Copse,,Dickersonchester,SA,2951,AU,-39.986129,113.610196,1963-06-29,2024-03-11T12:07:32,False,True
95,CUST-------ZZ,Jessica,Dunn,btaylor@example.org,(03).3674.9914,98 Franklin Range,,New Joseph,TAS,2427,AU,-41.002094,144.629953,1993-01-17,2024-06-18T03:59:26,False,True
96,CUST-99Z9-90A,Anthony,Phillips,christian90@example.com,+61.3.7775.7153,Apt. 794 28 Erica Quadrant,,New Kenneth,ACT,1338,AU,-37.192731,113.262821,1969-11-10,2024-04-07T00:41:22,False,True
97,CUST-90-0-9-0,Faith,Montgomery,vnichols@example.org,0345305941,Suite 073 9 Williams Viaduct,,Sanchezland,ACT,2643,AU,-39.216290,127.072991,1975-07-15,2024-08-23T19:24:38,False,True
98,CUST-9--90Z99,John,Lambert,fjimenez@example.com,+61-7-8199-6180,Unit 14 10 Heather Round,,Jimmyberg,SA,0229,AU,-37.097601,131.560123,2003-01-17,2024-06-27T20:24:24,False,True
99,CUST-9-0ZAZ0-,Sue,Hansen,mario95@example.net,0455.309.614,856 Robert Retreat,,Nicholasfurt,VIC,2638,AU,-39.576239,122.257759,2002-12-24,2024-04-19T07:21:25,False,True
100,CUST---Z9A-9-,Michele,Ford,bad_email,07-9397-9760,19 Michelle Bypass,,East Davidmouth,TAS,2988,AU,-39.866986,140.694322,1969-01-07,2024-12-14T05:00:18,True,True
101,CUST-00-0-Z99,Christine,Moreno,mariaferguson@example.net,0403 266 317,476 Chen Flat,,Johnborough,TAS,2640,AU,-36.768823,149.466775,1975-09-15,2024-08-01T06:24:00,False,False
102,CUST-AZ0Z9A-0,Larry,Walls,kevin69@example.org,+61230473858,4 Angela Circlet,,South Rebeccaside,WA,2611,AU,-35.911861,125.227364,2001-03-03,2024-11-27T09:22:00,False,False
103,CUST--ZZ--99-,Robert,Bryant,normafuentes@example.net,5485-6229,95 Tina Cutting,,Taylorport,QLD,2960,AU,-42.152188,117.624475,1989-01-11,2024-05-07T00:14:55,False,True
104,CUST--ZA9ZZZ-,Bonnie,Ford,susancarter@example.com,0411.606.616,280 Richard Place,,Ronaldland,WA,4516,AU,-37.139264,148.924241,1987-11-25,2024-12-19T04:16:29,False,True
105,CUST--Z---0-0,Robert,Riley,davidmitchell@example.com,0418.326.720,488 Chelsea Crossing,,New Davidhaven,NT,2630,AU,-37.196581,135.832579,1967-05-06,2024-09-26T16:15:56,False,True
106,CUST-------AA,Christopher,Castillo,tglenn@example.org,(07).9729.3768,Flat 12 53 Smith Esplanade,,Gibbsmouth,NT,2615,AU,-39.111720,147.955574,1999-12-19,2024-01-29T16:30:32,True,True
107,CUST-A90ZA--9,Gabrielle,Clayton,harperjohnny@example.org,0451.079.622,502 Mack Drive,,Wendyberg,ACT,2670,AU,-43.362401,151.764946,1966-03-11,2024-08-29T01:09:19,False,True
108,CUST-Z0990-90,Richard,Mason,browntimothy@example.com,(07)84135088,Suite 957 00 James Top,,Glennmouth,QLD,4656,AU,-34.071532,127.722345,1971-06-04,2025-01-07T08:06:28,False,True
109,CUST--Z0-9009,Tiffany,Simpson,ashley35@example.org,+61 451 451 212,3/0 Timothy Gates,,Hardingborough,QLD,3771,AU,-36.749761,116.513786,1997-08-11,2024-11-10T00:34:10,False,True
110,CUST-90-9AA--,Andrew,Morgan,alvarezadam@example.org,0495.581.565,Unit 92 570 Barber Artery,,Chelseamouth,WA,2647,AU,-41.107365,144.631450,2011-09-07,2024-06-12T21:01:30,False,True
111,CUST-----0ZZ9,Nichole,Miller,sabrina26@example.net,1466-3013,Unit 80 36 Jeremy Way,,North Shelby,QLD,2230,AU,-43.531159,125.776593,1994-03-12,2024-09-25T11:36:17,False,True
112,CUST-Z00-Z---,Natasha,Bender,hhill@example.net,08-8738-7933,3 Brown Bend,,East David,SA,0961,AU,-41.450044,125.210520,1967-02-03,2024-08-18T13:30:37,True,True
113,CUST-Z-0--9AA,Robert,Phelps,jreeves@example.org,4027.1075,4 Robert Quadrangle,,Boydville,TAS,4779,AU,-40.670357,150.280790,1961-05-17,2024-04-18T06:55:06,False,True
114,CUST-0--9-90-,Eric,Miller,richard78@example.net,02 6915 0945,6 Kim Interchange,,Fryeside,WA,2444,AU,-40.403554,147.312478,2001-10-22,2024-02-20T17:05:37,False,True
115,CUST---Z0A9-Z,Vanessa,Chavez,qhenry@example.org,+61.429.931.610,35/8 Simpson Distributor,,Lake Davidstad,TAS,2995,AU,-41.699814,134.791581,1982-01-17,2024-09-12T20:02:53,False,True
116,CUST--9Z99000,Jason,Mccarty,omay@example.com,+61 3 6542 4267,Unit 25 8 Erin Parade,,St. Heather,QLD,2668,AU,-35.609315,114.973216,1964-05-08,2025-01-26T00:13:56,False,True
117,CUST--A9-0A--,Jesse,Coleman,bad_email,+61.7.5283.6799,Unit 29 7 Lucero Roadway,,Walkermouth,QLD,2980,AU,-38.677875,128.453540,1961-07-02,2024-09-28T10:00:10,False,True
118,CUST--0A--A99,Molly,Ayers,pdean@example.net,(02)-8973-0893,664 Cooper Trunkway,,Christopherborough,ACT,2628,AU,-43.209808,150.371912,2001-03-06,2024-10-16T08:51:17,False,True
119,CUST-AA9099A0,Elijah,Armstrong,bad_email,0869330849,06 Vargas Byway,,Jenniferton,NT,6073,AU,-35.546702,137.796290,1989-09-20,2024-10-16T03:28:19,False,True
120,CUST-9Z---AA0,John,Harrison,tracy19@example.org,66695126,736 Howell Brow,,Martinside,NSW,2569,AU,-38.129639,142.090179,1995-09-25,2024-02-09T10:53:46,False,True
121,CUST--9Z0-909,Stephanie,Acosta,jessicapennington@example.net,9750.0490,45 Jeffrey Trailer,,West Danielle,QLD,2672,AU,-43.239818,136.206750,2013-06-07,2024-07-22T11:52:58,True,True
122,CUST-Z-00--00,Marco,Garcia,bad_email,08 1126 6201,Flat 66 1 Justin Round,,South Sarahville,ACT,2808,AU,-42.457790,140.467086,1973-11-03,2025-01-13T14:11:08,False,True
123,CUST-ZAAAZ-Z0,David,Holden,bad_email,06690510,284 George Cove,,Lake Christopher,WA,2757,AU,-38.457802,135.876982,1989-02-07,2024-07-16T00:26:57,False,True
124,CUST-A----99-,Edwin,Ward,manuel92@example.com,0489-787-653,0/7 Eric Glade,,Wilsonfort,WA,2901,AU,-42.327926,123.038475,1986-11-22,2024-09-04T02:48:02,False,True
125,CUST--9-0-9A0,Allen,Jackson,robertssavannah@example.com,+61 2 7978 2714,2/92 Lawrence Plaza,,Robinfort,QLD,2602,AU,-40.704583,125.389449,2013-04-29,2024-03-10T10:56:18,False,True
126,CUST--ZZ-Z009,Timothy,Greene,gonzalezhenry@example.com,+61 7 3170 5578,05/77 Rivera Tollway,,West Matthewshire,QLD,7978,AU,-34.679328,119.992002,2008-12-13,2024-04-02T20:01:42,True,True
127,CUST-99Z00A-9,Alison,Ryan,jcarlson@example.net,90861358,13 Curtis Mall,,Lake Davidland,VIC,3047,AU,-36.109232,114.958605,2013-08-23,2024-09-02T21:11:55,False,True
128,CUST-A-Z9--90,Shannon,Johnson,theresa43@example.com,+61.476.073.856,Apt. 094 438 Mercer Artery,,Robertsonville,TAS,0830,AU,-37.549688,137.869744,1989-09-30,2024-08-08T03:51:26,True,True
129,CUST----99---,Larry,Smith,ashleylowery@example.com,(03)38909860,45 Atkins Beach,,Masonside,QLD,2637,AU,-41.045678,148.821902,1967-09-14,2024-02-29T05:09:29,False,True
130,CUST--Z0A0-09,James,Tapia,bad_email,(02).5193.3770,0/660 Jose Mews,,Brandimouth,QLD,5394,AU,-40.569221,116.374507,1974-09-29,2025-01-14T08:52:50,False,True
131,CUST---Z-0900,Dana,Austin,patrick40@example.com,2128 9069,Flat 54 8 Eric Crescent,,Brettburgh,TAS,0266,AU,-39.704472,112.178002,1979-04-09,2024-04-15T10:08:03,False,True
